Tiime[s],Speed[kmph]
0,0.0
1,2.83
2,4.47
3,6.49
4,7.43
5,9.6
6,11.5
7,13.01
8,15.63
9,18.25
10,19.9
11,21.67
12,22.99
13,26.59
14,25.76
15,26.57
16,26.45
17,26.51
18,26.51
19,25.24
20,24.49
21,23.22
22,22.69
23,22.33
24,21.6
25,21.13
26,20.66
27,15.91
28,13.38
29,10.19
30,7.89
31,3.62
32,0.72
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,2.41
119,3.99
120,5.54
121,7.87
122,10.12
123,11.84
124,13.32
125,16.35
126,17.55
127,20.18
128,21.54
129,23.35
130,22.53
131,22.46
132,22.54
133,22.52
134,22.4
135,22.44
136,22.55
137,20.85
138,17.58
139,12.51
140,11.33
141,11.6
142,10.88
143,10.7
144,11.16
145,11.7
146,11.1
147,10.4
148,10.82
149,11.41
150,10.22
151,11.92
152,10.92
153,11.51
154,11.92
155,11.21
156,10.67
157,11.12
158,10.95
159,11.03
160,11.64
161,11.26
162,11.08
163,11.46
164,11.36
165,10.79
166,11.57
167,10.22
168,10.53
169,11.08
170,12.48
171,14.68
172,16.79
173,18.95
174,21.06
175,22.66
176,24.49
177,26.78
178,29.74
